user_id,age_group,education_level,neurodivergence_type,primary_challenge,prior_elearning_experience,font_type,font_size_pt,color_theme,layout_mode,content_format,text_to_speech_enabled,session_reminder_used,session_duration_min,task_completion_rate,number_of_setting_changes,errors_or_backtracks,sus_score,engagement_score,would_recommend,feedback_theme
WALS-101984,Higher Ed (18-24),Undergraduate,None (Control),Sensory Sensitivity,Some,Standard,17,Default,Simplified,Multimodal,False,False,15.4,0.56,1,0,74.8,7.0,True,Neutral: No Strong Opinion
WALS-108733,Higher Ed (18-24),Postgraduate,Dyslexia,Reading Comprehension,Extensive,Dyslexia-Friendly,14,Low-Stimulation Pastel,Simplified,Visual,True,False,34.4,0.4,2,0,65.3,5.0,True,Neutral: No Strong Opinion
WALS-109037,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,Some,Standard,12,Low-Stimulation Pastel,Standard,Multimodal,True,False,14.8,0.6,2,0,97.5,7.0,True,Positive: Ease of Use
WALS-107153,Adult Learner (25+),Undergraduate,Autism,Sensory Sensitivity,,Standard,15,High-Contrast,Simplified,Text,False,True,11.8,0.87,1,1,85.1,8.0,True,
WALS-101825,Higher Ed (18-24),Undergraduate,Multiple,Cognitive Overload,Some,Dyslexia-Friendly,17,Low-Stimulation Pastel,Distraction-Free,Text,True,False,17.7,0.85,1,0,75.6,5.0,True,Positive: Helpful Personalization
WALS-108525,Higher Ed (18-24),Undergraduate,Multiple,Attention & Distraction,Some,Standard,15,Dark Mode,Distraction-Free,Text,False,False,4.0,0.7,1,2,73.9,9.0,True,Positive: Helpful Personalization
WALS-106821,Higher Ed (18-24),Undergraduate,Autism,Cognitive Overload,Extensive,Standard,12,High-Contrast,Distraction-Free,Multimodal,False,False,26.9,0.76,2,0,61.2,7.0,True,Neutral: No Strong Opinion
WALS-103060,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,Some,Standard,12,Low-Stimulation Pastel,Standard,Multimodal,True,True,26.8,0.81,2,0,66.3,6.0,True,Positive: Helpful Personalization
WALS-105174,Adult Learner (25+),Postgraduate,ADHD,Attention & Distraction,None,Standard,22,High-Contrast,Simplified,Text,False,True,13.6,0.42,4,2,70.4,6.0,True,Suggestion: Better Font Controls
WALS-104532,Adult Learner (25+),Postgraduate,Autism,Sensory Sensitivity,Some,Standard,21,Low-Stimulation Pastel,Distraction-Free,Text,True,False,20.5,0.6,1,1,70.0,7.0,True,Suggestion: Better Font Controls
WALS-105582,Higher Ed (18-24),Secondary,None (Control),Reading Comprehension,Extensive,Standard,15,Default,Distraction-Free,Multimodal,True,False,19.9,0.84,0,0,69.0,7.0,True,Positive: Helpful Personalization
WALS-103287,Adult Learner (25+),Secondary,None (Control),Reading Comprehension,Some,Standard,20,Low-Stimulation Pastel,Standard,Text,True,False,32.7,0.36,2,0,100.0,9.0,True,Positive: Helpful Personalization
WALS-101886,Higher Ed (18-24),Undergraduate,Multiple,Cognitive Overload,Some,Standard,16,Default,Simplified,Audio,True,False,23.1,0.58,3,0,81.1,8.0,True,Neutral: No Strong Opinion
WALS-107628,School (13-17),Postgraduate,Dyslexia,Cognitive Overload,Some,Standard,19,High-Contrast,Distraction-Free,Multimodal,False,False,18.8,0.88,2,0,69.1,10.0,True,Positive: Ease of Use
WALS-108939,School (13-17),Undergraduate,Dyscalculia,Reading Comprehension,Extensive,Standard,20,Low-Stimulation Pastel,Standard,Audio,True,True,9.6,0.94,0,1,63.8,10.0,False,Suggestion: More Audio Content
WALS-102191,Higher Ed (18-24),Secondary,Autism,Attention & Distraction,None,Standard,16,High-Contrast,Distraction-Free,Visual,False,False,25.5,0.8,1,1,96.2,9.0,True,Positive: Ease of Use
WALS-108089,Adult Learner (25+),Postgraduate,Dyscalculia,Cognitive Overload,None,Standard,11,High-Contrast,Distraction-Free,Visual,False,False,23.3,0.55,2,0,86.8,9.0,True,Suggestion: More Audio Content
WALS-108347,Adult Learner (25+),Undergraduate,Dyscalculia,Cognitive Overload,Extensive,Standard,24,Default,Distraction-Free,Visual,False,True,23.3,0.55,2,1,80.8,5.0,True,Suggestion: Better Font Controls
WALS-105331,Higher Ed (18-24),Secondary,Autism,Sensory Sensitivity,Extensive,Standard,11,Low-Stimulation Pastel,Standard,Multimodal,True,False,6.6,0.37,1,2,63.0,5.0,False,Suggestion: More Audio Content
WALS-105239,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,Some,Dyslexia-Friendly,17,High-Contrast,Distraction-Free,Visual,True,False,21.7,0.67,0,2,92.5,5.0,True,Suggestion: More Audio Content
WALS-107784,Adult Learner (25+),Undergraduate,ADHD,Attention & Distraction,Some,Standard,17,High-Contrast,Simplified,Text,False,True,26.6,0.77,1,1,60.8,5.0,True,Neutral: No Strong Opinion
WALS-106533,Adult Learner (25+),Secondary,ADHD,Attention & Distraction,Some,Standard,11,Dark Mode,Distraction-Free,Multimodal,False,True,19.0,0.51,3,4,81.6,5.0,True,Positive: Ease of Use
WALS-105129,Higher Ed (18-24),Undergraduate,Autism,Attention & Distraction,Some,Standard,17,Dark Mode,Simplified,Text,False,False,16.0,0.54,3,2,54.9,5.0,False,Neutral: No Strong Opinion
WALS-106045,Higher Ed (18-24),Secondary,Multiple,Attention & Distraction,Some,Dyslexia-Friendly,20,Low-Stimulation Pastel,Standard,Text,False,False,19.8,0.8,1,4,60.7,4.0,True,Suggestion: More Audio Content
WALS-102288,Higher Ed (18-24),Postgraduate,ADHD,Cognitive Overload,Extensive,Standard,16,Default,Simplified,Audio,True,True,24.0,0.46,2,2,77.2,4.0,True,Suggestion: More Audio Content
WALS-103879-R,School (13-17),Undergraduate,ADHD,Attention & Distraction,,Dyslexia-Friendly,15,Default,Distraction-Free,Audio,False,True,16.2,0.49,4,3,78.9,,True,
WALS-103473,School (13-17),Undergraduate,None (Control),Reading Comprehension,,Standard,13,Dark Mode,Distraction-Free,Multimodal,True,False,19.2,0.77,1,1,78.4,6.0,True,
WALS-108826,Higher Ed (18-24),Undergraduate,Multiple,Sensory Sensitivity,Some,Standard,18,Low-Stimulation Pastel,Standard,Text,False,False,22.3,0.71,3,3,78.7,7.0,True,Neutral: No Strong Opinion
WALS-104379,Higher Ed (18-24),Undergraduate,None (Control),Attention & Distraction,None,Standard,17,Default,Simplified,Multimodal,False,False,19.8,0.62,2,3,78.7,7.0,True,Neutral: No Strong Opinion
WALS-109966,Higher Ed (18-24),Undergraduate,Autism,Attention & Distraction,Some,Standard,18,Default,Distraction-Free,Audio,False,False,22.7,0.78,1,1,65.6,7.0,True,Neutral: No Strong Opinion
WALS-100937,School (13-17),Secondary,Multiple,Attention & Distraction,,Dyslexia-Friendly,17,Default,Simplified,Text,False,False,21.2,0.63,1,1,64.5,,False,
WALS-106756,Higher Ed (18-24),Undergraduate,ADHD,Cognitive Overload,None,Standard,11,Default,Standard,Multimodal,True,True,20.4,0.94,2,0,87.7,9.0,True,Neutral: No Strong Opinion
WALS-106832,Higher Ed (18-24),Postgraduate,Dyslexia,Cognitive Overload,Some,Standard,16,Low-Stimulation Pastel,Distraction-Free,Text,True,True,11.0,0.78,1,1,72.4,6.0,True,Suggestion: More Audio Content
WALS-107707,Higher Ed (18-24),Undergraduate,Autism,Sensory Sensitivity,None,Dyslexia-Friendly,14,Low-Stimulation Pastel,Distraction-Free,Visual,True,False,29.3,0.57,6,1,76.6,7.0,True,Suggestion: More Audio Content
WALS-103942,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,None,Standard,13,Dark Mode,Simplified,Text,False,True,20.2,0.53,1,1,56.7,3.0,False,Neutral: No Strong Opinion
WALS-106524,Higher Ed (18-24),Postgraduate,None (Control),Reading Comprehension,None,Standard,21,Low-Stimulation Pastel,Simplified,Audio,True,False,17.7,0.56,1,1,61.9,7.0,True,Positive: Ease of Use
WALS-105829,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,Some,Standard,18,High-Contrast,Distraction-Free,Visual,False,True,11.2,0.75,3,3,75.4,8.0,True,Neutral: No Strong Opinion
WALS-110499,Higher Ed (18-24),Secondary,Autism,Sensory Sensitivity,Some,Standard,16,High-Contrast,Standard,Text,False,False,10.5,0.96,1,3,95.8,8.0,True,Neutral: No Strong Opinion
WALS-105424,Higher Ed (18-24),Undergraduate,Dyscalculia,Reading Comprehension,Some,Standard,18,Default,Standard,Visual,True,True,19.0,0.53,1,2,81.9,7.0,True,Positive: Helpful Personalization
WALS-102484,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,Some,Dyslexia-Friendly,17,Low-Stimulation Pastel,Distraction-Free,Audio,False,True,13.6,0.53,2,1,84.6,5.0,True,
WALS-100856,Higher Ed (18-24),Secondary,Autism,Cognitive Overload,Extensive,Standard,18,High-Contrast,Distraction-Free,Text,True,False,35.6,0.62,5,3,61.7,5.0,True,Neutral: No Strong Opinion
WALS-109957,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,Extensive,Standard,18,High-Contrast,Simplified,Multimodal,False,False,29.0,0.89,2,0,70.3,6.0,True,Neutral: No Strong Opinion
WALS-109965,Higher Ed (18-24),Undergraduate,Autism,Sensory Sensitivity,Some,Standard,13,Default,Simplified,Multimodal,False,False,22.9,0.75,4,1,59.5,4.0,False,Neutral: No Strong Opinion
WALS-104474,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,None,Dyslexia-Friendly,11,High-Contrast,Standard,Audio,False,False,13.3,0.9,0,0,63.3,7.0,False,Positive: Helpful Personalization
WALS-104029,Adult Learner (25+),Undergraduate,Autism,Sensory Sensitivity,None,Standard,19,Dark Mode,Simplified,Audio,True,True,15.9,0.95,1,3,69.0,3.0,False,Suggestion: More Audio Content
WALS-100795,Higher Ed (18-24),Undergraduate,ADHD,Cognitive Overload,Some,Dyslexia-Friendly,17,Dark Mode,Simplified,Multimodal,True,False,17.8,0.86,1,0,59.6,9.0,True,
WALS-102874,Higher Ed (18-24),Postgraduate,ADHD,Cognitive Overload,Extensive,Standard,18,High-Contrast,Standard,Text,False,False,29.8,0.77,3,1,66.2,8.0,False,Suggestion: Better Font Controls
WALS-102447,Higher Ed (18-24),Undergraduate,Dyscalculia,Reading Comprehension,Some,Standard,16,Default,Standard,Audio,True,False,4.8,0.38,1,0,94.4,7.0,True,Positive: Ease of Use
WALS-106301,Higher Ed (18-24),Undergraduate,Multiple,Reading Comprehension,Some,Dyslexia-Friendly,18,High-Contrast,Simplified,Visual,False,False,29.2,0.63,0,0,86.2,5.0,True,Neutral: No Strong Opinion
WALS-110192,Higher Ed (18-24),Postgraduate,ADHD,Cognitive Overload,None,Dyslexia-Friendly,18,Default,Distraction-Free,Audio,True,True,25.7,0.63,2,0,81.9,8.0,True,Neutral: No Strong Opinion
WALS-102239,School (13-17),Undergraduate,Dyscalculia,Reading Comprehension,None,Standard,18,Low-Stimulation Pastel,Simplified,Text,True,False,9.2,0.4,5,0,67.5,6.0,False,Neutral: No Strong Opinion
WALS-101408,Higher Ed (18-24),Secondary,ADHD,Attention & Distraction,Some,Dyslexia-Friendly,11,Dark Mode,Standard,Multimodal,False,True,20.9,0.88,2,3,54.6,5.0,False,Suggestion: Better Font Controls
WALS-108448,School (13-17),Secondary,Multiple,Cognitive Overload,None,Dyslexia-Friendly,14,High-Contrast,Standard,Multimodal,True,True,17.7,0.67,0,3,85.5,7.0,True,Suggestion: More Audio Content
WALS-100101,Higher Ed (18-24),Undergraduate,Dyscalculia,Reading Comprehension,Extensive,Standard,18,Low-Stimulation Pastel,Standard,Visual,True,False,6.3,0.91,1,0,69.9,10.0,True,Suggestion: More Audio Content
WALS-102846,Higher Ed (18-24),Secondary,Autism,Sensory Sensitivity,Some,Dyslexia-Friendly,13,Dark Mode,Standard,Visual,False,False,19.7,0.51,2,2,80.7,5.0,True,Neutral: No Strong Opinion
WALS-110476,School (13-17),Undergraduate,Dyscalculia,Cognitive Overload,Extensive,Standard,16,Dark Mode,Distraction-Free,Audio,False,True,11.5,0.76,1,0,100.0,10.0,True,Suggestion: More Audio Content
WALS-103263,School (13-17),Undergraduate,Dyslexia,Reading Comprehension,Some,Dyslexia-Friendly,17,Default,Simplified,Audio,True,True,20.5,0.89,3,2,77.7,6.0,True,Suggestion: Better Font Controls
WALS-104718,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,Extensive,Dyslexia-Friendly,13,Dark Mode,Distraction-Free,Audio,False,True,16.0,0.34,2,1,53.3,9.0,False,Neutral: No Strong Opinion
WALS-105465,Higher Ed (18-24),Undergraduate,None (Control),Reading Comprehension,None,Standard,21,Low-Stimulation Pastel,Distraction-Free,Audio,True,True,11.2,0.47,3,1,61.6,7.0,True,Suggestion: Better Font Controls
WALS-102452,Higher Ed (18-24),Secondary,None (Control),Reading Comprehension,Extensive,Standard,19,High-Contrast,Simplified,Audio,True,True,10.6,0.94,0,5,73.9,6.0,True,Neutral: No Strong Opinion
WALS-109747,Higher Ed (18-24),Undergraduate,ADHD,Cognitive Overload,None,Standard,13,Default,Distraction-Free,Visual,False,False,11.6,0.75,0,0,75.4,7.0,True,Positive: Ease of Use
WALS-104640,School (13-17),Undergraduate,Dyslexia,Reading Comprehension,Extensive,Standard,17,Default,Standard,Multimodal,True,False,15.0,0.85,0,0,81.0,10.0,True,Positive: Helpful Personalization
WALS-107704,Adult Learner (25+),Undergraduate,None (Control),Attention & Distraction,Extensive,Standard,13,Default,Distraction-Free,Audio,False,False,21.3,0.83,0,2,28.5,4.0,False,Neutral: No Strong Opinion
WALS-110046,Higher Ed (18-24),Undergraduate,Multiple,Sensory Sensitivity,None,Dyslexia-Friendly,16,High-Contrast,Distraction-Free,Text,False,False,25.1,0.75,1,4,86.6,8.0,True,Neutral: No Strong Opinion
WALS-107302,Adult Learner (25+),Undergraduate,Dyslexia,Reading Comprehension,Some,Standard,11,Dark Mode,Distraction-Free,Audio,True,False,22.0,0.75,2,3,68.7,7.0,True,Suggestion: Better Font Controls
WALS-102957,School (13-17),Secondary,ADHD,Attention & Distraction,Some,Standard,12,Default,Simplified,Multimodal,True,True,14.2,0.55,4,2,46.6,8.0,False,Suggestion: Better Font Controls
WALS-107649,Adult Learner (25+),Undergraduate,ADHD,Attention & Distraction,Some,Standard,19,High-Contrast,Standard,Visual,False,False,20.2,1.0,1,1,66.6,7.0,False,Suggestion: Better Font Controls
WALS-100592,School (13-17),Secondary,Dyslexia,Reading Comprehension,,Dyslexia-Friendly,11,Default,Standard,Audio,True,True,19.5,0.93,3,1,82.9,6.0,True,
WALS-104046,Higher Ed (18-24),Secondary,Dyslexia,Cognitive Overload,None,Dyslexia-Friendly,17,Default,Standard,Audio,False,False,12.3,0.66,2,6,57.0,1.0,True,Negative: Too Many Options
WALS-107440,Higher Ed (18-24),Undergraduate,Multiple,Reading Comprehension,Some,Dyslexia-Friendly,18,Dark Mode,Standard,Text,True,True,21.3,0.35,0,0,81.4,8.0,True,Neutral: No Strong Opinion
WALS-106691,Higher Ed (18-24),Undergraduate,Dyslexia,Cognitive Overload,None,Dyslexia-Friendly,18,Default,Distraction-Free,Audio,False,True,27.6,0.66,4,0,81.9,9.0,True,Positive: Ease of Use
WALS-101511,School (13-17),Undergraduate,Dyslexia,Reading Comprehension,Some,Dyslexia-Friendly,11,Default,Standard,Text,True,False,19.7,0.77,2,1,76.1,9.0,True,Positive: Ease of Use
WALS-107985,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,Extensive,Standard,16,Dark Mode,Standard,Multimodal,False,True,17.2,0.56,1,1,65.9,6.0,True,Suggestion: More Audio Content
WALS-106699,Higher Ed (18-24),Secondary,Dyslexia,Reading Comprehension,Some,Standard,20,Default,Standard,Visual,False,False,18.6,0.98,6,2,77.1,8.0,True,Suggestion: Better Font Controls
WALS-103207,Higher Ed (18-24),Undergraduate,Dyscalculia,Reading Comprehension,None,Standard,15,Low-Stimulation Pastel,Standard,Multimodal,False,False,15.2,0.53,0,0,42.6,7.0,False,Neutral: No Strong Opinion
WALS-101147,School (13-17),Undergraduate,Multiple,Reading Comprehension,Some,Dyslexia-Friendly,15,High-Contrast,Standard,Multimodal,True,False,21.6,0.78,3,1,68.6,7.0,False,Neutral: No Strong Opinion
WALS-109835,Higher Ed (18-24),Undergraduate,None (Control),Reading Comprehension,Some,Standard,13,Dark Mode,Simplified,Audio,True,True,24.8,0.88,1,3,63.2,10.0,True,Suggestion: Better Font Controls
WALS-107477,Higher Ed (18-24),Secondary,ADHD,Attention & Distraction,Some,Dyslexia-Friendly,22,Low-Stimulation Pastel,Standard,Multimodal,True,False,22.8,0.58,1,0,65.7,10.0,False,Positive: Ease of Use
WALS-108422,Adult Learner (25+),Postgraduate,ADHD,Cognitive Overload,Extensive,Dyslexia-Friendly,13,High-Contrast,Distraction-Free,Audio,False,False,22.2,0.69,1,0,78.0,8.0,True,Suggestion: Better Font Controls
WALS-100900,School (13-17),Undergraduate,Dyslexia,Reading Comprehension,None,Dyslexia-Friendly,11,Default,Simplified,Visual,False,True,15.8,0.63,1,4,66.7,10.0,True,Suggestion: Better Font Controls
WALS-106452,School (13-17),Secondary,None (Control),Attention & Distraction,Extensive,Standard,16,Default,Standard,Visual,False,False,25.1,0.93,0,0,80.3,8.0,True,Neutral: No Strong Opinion
WALS-102613,Higher Ed (18-24),Secondary,None (Control),Sensory Sensitivity,None,Standard,14,Default,Standard,Text,False,False,10.4,0.73,5,1,74.1,5.0,True,Suggestion: Better Font Controls
WALS-103677,Adult Learner (25+),Undergraduate,Autism,Sensory Sensitivity,,Dyslexia-Friendly,18,Dark Mode,Simplified,Text,True,False,24.4,0.99,0,1,81.5,,True,
WALS-109848,Adult Learner (25+),Secondary,ADHD,Attention & Distraction,None,Dyslexia-Friendly,14,Dark Mode,Distraction-Free,Multimodal,False,False,22.8,0.92,2,2,66.2,6.0,False,Positive: Ease of Use
WALS-104419,Higher Ed (18-24),Postgraduate,ADHD,Attention & Distraction,Some,Standard,12,Default,Distraction-Free,Visual,False,False,16.1,0.71,1,0,78.3,10.0,True,Suggestion: More Audio Content
WALS-106444,Higher Ed (18-24),Undergraduate,Multiple,Reading Comprehension,Some,Dyslexia-Friendly,20,High-Contrast,Standard,Text,True,False,28.1,0.59,0,2,75.6,8.0,True,Positive: Ease of Use
WALS-104185,School (13-17),Undergraduate,Dyscalculia,Cognitive Overload,None,Standard,25,Dark Mode,Distraction-Free,Multimodal,False,True,5.3,0.47,1,1,87.1,8.0,True,Neutral: No Strong Opinion
WALS-108081,Higher Ed (18-24),Secondary,Multiple,Cognitive Overload,Some,Dyslexia-Friendly,15,High-Contrast,Distraction-Free,Visual,False,False,16.5,0.81,1,2,76.0,4.0,True,Suggestion: More Audio Content
WALS-101022,Higher Ed (18-24),Undergraduate,None (Control),Attention & Distraction,Extensive,Dyslexia-Friendly,20,Dark Mode,Distraction-Free,Multimodal,False,False,19.0,0.8,2,0,92.8,10.0,True,Positive: Ease of Use
WALS-104447,School (13-17),Postgraduate,Dyscalculia,Cognitive Overload,Some,Dyslexia-Friendly,13,High-Contrast,Distraction-Free,Text,False,True,18.1,0.36,2,2,66.1,8.0,False,Neutral: No Strong Opinion
WALS-101793,Adult Learner (25+),Secondary,Dyscalculia,Cognitive Overload,Extensive,Standard,17,High-Contrast,Standard,Text,False,False,18.8,0.7,3,2,81.5,4.0,True,Neutral: No Strong Opinion
WALS-103685,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,,Standard,18,Low-Stimulation Pastel,Simplified,Multimodal,True,False,20.0,0.85,1,3,74.8,,True,
WALS-104825,Adult Learner (25+),Undergraduate,None (Control),Reading Comprehension,Extensive,Standard,12,Default,Simplified,Multimodal,True,False,24.9,0.64,0,3,77.7,5.0,True,Suggestion: Better Font Controls
WALS-109655,Higher Ed (18-24),Secondary,ADHD,Cognitive Overload,None,Standard,18,Dark Mode,Simplified,Multimodal,True,True,17.6,0.86,1,0,70.8,8.0,True,Positive: Ease of Use
WALS-109461,Higher Ed (18-24),Undergraduate,Autism,Attention & Distraction,Some,Dyslexia-Friendly,11,High-Contrast,Distraction-Free,Text,False,False,22.7,0.22,3,0,79.1,10.0,True,Neutral: No Strong Opinion
WALS-103532,School (13-17),Undergraduate,None (Control),Reading Comprehension,Extensive,Standard,16,High-Contrast,Standard,Text,True,True,24.7,0.63,4,2,76.9,5.0,True,Suggestion: More Audio Content
WALS-109301,Adult Learner (25+),Secondary,Dyslexia,Reading Comprehension,Some,Dyslexia-Friendly,18,Low-Stimulation Pastel,Distraction-Free,Visual,True,False,19.6,0.79,1,0,82.0,8.0,True,Positive: Helpful Personalization
WALS-105579,Higher Ed (18-24),Undergraduate,ADHD,Cognitive Overload,None,Standard,11,Default,Standard,Visual,True,True,9.3,0.76,1,2,85.9,5.0,True,Neutral: No Strong Opinion
WALS-104740,School (13-17),Secondary,Multiple,Reading Comprehension,Extensive,Dyslexia-Friendly,11,High-Contrast,Standard,Multimodal,True,False,25.3,0.98,2,2,67.2,6.0,False,Suggestion: More Audio Content
WALS-103184,Adult Learner (25+),Secondary,Dyslexia,Reading Comprehension,,Standard,11,Default,Standard,Audio,True,False,11.1,0.83,4,0,67.5,,False,
WALS-103470,Higher Ed (18-24),Postgraduate,ADHD,Attention & Distraction,None,Standard,11,High-Contrast,Simplified,Multimodal,False,True,13.5,0.73,1,1,69.5,7.0,True,Suggestion: More Audio Content
WALS-101368,Adult Learner (25+),Undergraduate,None (Control),Reading Comprehension,Some,Dyslexia-Friendly,15,High-Contrast,Standard,Visual,True,False,25.2,0.76,1,2,70.4,7.0,True,Negative: Confusing Navigation
WALS-107822,Higher Ed (18-24),Secondary,ADHD,Attention & Distraction,Extensive,Standard,20,Default,Distraction-Free,Audio,True,True,11.3,0.81,4,0,100.0,8.0,True,Suggestion: Better Font Controls
WALS-105843,Adult Learner (25+),Undergraduate,Multiple,Cognitive Overload,Some,Dyslexia-Friendly,18,Default,Standard,Text,True,True,24.4,0.71,1,1,81.5,10.0,True,Neutral: No Strong Opinion
WALS-107092,Higher Ed (18-24),Postgraduate,None (Control),Attention & Distraction,Some,Dyslexia-Friendly,14,Low-Stimulation Pastel,Distraction-Free,Audio,True,False,22.2,0.95,2,2,92.8,6.0,True,Positive: Ease of Use
WALS-108835,School (13-17),Undergraduate,Autism,Attention & Distraction,Some,Standard,11,High-Contrast,Distraction-Free,Text,False,False,23.6,0.6,0,1,58.8,10.0,False,Positive: Ease of Use
WALS-104395,School (13-17),Postgraduate,Dyslexia,Reading Comprehension,None,Dyslexia-Friendly,16,High-Contrast,Standard,Visual,False,False,22.2,0.92,0,0,45.0,4.0,False,Neutral: No Strong Opinion
