id,title,subject,grade,standard,chapter,difficulty,estimated_duration,question,content_type,options,correct_answer,explanation,hints,scaffold_steps,supported_learning_modes,theme_tags,icon_name
6aad5689c039c717b080acfe,Energy Cell Fraction,Mathematics,1,,,2,4,"A space shuttle power grid has 12 energy cells. If the navigation thrusters require 3/4 of the total cells, how many cells will be energized?",multiple_choice,"[""9 cells"", ""8 cells"", ""6 cells"", ""10 cells""]",9 cells,(3/4) of 12 = (3 * 12) / 4 = 36 / 4 = 9 energy cells!,"[""First find 1/4 of 12 by dividing 12 by 4."", ""12 divided by 4 equals 3."", ""Now multiply that answer (3) by 3 to find 3/4.""]",[],"[""Seeing"", ""Doing""]","[""space"", ""coding"", ""mathematics""]",Sparkles
6aad5689c039c717b080acff,The Mystery Cargo Weight,Mathematics,1,,,2,5,An expedition container holds 2 identical mystery probe pods plus a 5 kg sensor unit. The total weight on the scale is 25 kg. What is the weight of one mystery pod (x)?,multiple_choice,"[""10 kg"", ""12 kg"", ""8 kg"", ""15 kg""]",10 kg,Equation: 2x + 5 = 25. Subtract 5: 2x = 20. Divide by 2: x = 10 kg!,"[""Set up the balance: 2 pods + 5 kg = 25 kg."", ""Subtract 5 kg from both sides to find what 2 pods weigh."", ""20 kg divided equally into 2 pods equals 10 kg.""]",[],"[""Seeing"", ""Reading""]","[""coding"", ""space"", ""mathematics""]",Cpu
6aad5689c039c717b080ad08,Inside-Outside & Spatial Orientation (APPLICATION),Mathematics,1,Class 1,Shapes and Space,1,3,The puppy is sleeping on its soft bed inside the dog house. Where is the puppy resting?,multiple_choice,"[""Inside the dog house"", ""Outside in the garden"", ""On the roof of the shed"", ""Under the tree""]",Inside the dog house,"Because the puppy is surrounded by the walls of the dog house, its position is inside.","[""Look at where the puppy is sleeping."", ""It is surrounded by the dog house walls."", ""The opposite of outside is inside.""]","[""Step 1: Locate the boundary of the dog house."", ""Step 2: Check if the puppy is within the walls."", ""Step 3: Choose 'Inside'.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad0a,Numbers from One to Nine (APPLICATION),Mathematics,1,Class 1,Numbers from One to Nine,1,3,An astronaut spotted 4 blue planets and 3 green planets through the telescope. How many planets did the astronaut count in total?,multiple_choice,"[""7 planets"", ""6 planets"", ""8 planets"", ""5 planets""]",7 planets,"Count 4 blue planets: 1, 2, 3, 4. Then count 3 more green planets: 5, 6, 7. In total there are 7 planets.","[""Start with the 4 blue planets."", ""Count up 3 more: 5, 6, 7!"", ""4 + 3 = 7.""]","[""Step 1: First group = 4."", ""Step 2: Add second group = 3."", ""Step 3: 4 + 3 = 7.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad0c,Addition (Sum up to 9) (APPLICATION),Mathematics,1,Class 1,Addition (Sum up to 9),1,3,Riya has 5 red balloons. Her friend gives her 3 more yellow balloons. How many balloons does Riya have altogether?,multiple_choice,"[""8 balloons"", ""7 balloons"", ""9 balloons"", ""6 balloons""]",8 balloons,Combine 5 red balloons with 3 yellow balloons: 5 + 3 = 8 balloons.,"[""Start with Riya's 5 balloons."", ""Add the 3 new balloons: 6, 7, 8!"", ""5 + 3 = 8.""]","[""Step 1: Start at 5."", ""Step 2: Count forward 3 steps: 6, 7, 8."", ""Step 3: Total is 8.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad0e,Subtraction (Take Away) (APPLICATION),Mathematics,1,Class 1,Subtraction (Take Away),1,3,There are 7 ripe mangoes on a branch. A mischievous monkey plucks 2 mangoes. How many mangoes are left on the branch?,multiple_choice,"[""5 mangoes"", ""4 mangoes"", ""6 mangoes"", ""3 mangoes""]",5 mangoes,7 mangoes take away 2 mangoes: 7 - 2 = 5 mangoes remain on the branch.,"[""Start with 7 mangoes."", ""Take away 2: count back 6, 5."", ""7 - 2 = 5.""]","[""Step 1: Total mangoes = 7."", ""Step 2: Subtract 2 mangoes."", ""Step 3: Remaining = 5.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad10,Numbers from Ten to Twenty (APPLICATION),Mathematics,1,Class 1,Numbers from Ten to Twenty,1,3,A bundle contains 10 wooden sticks. Next to it are 4 loose sticks. What number do they represent together?,multiple_choice,"[""14"", ""104"", ""12"", ""16""]",14,1 bundle of ten (10) plus 4 loose ones (4) equals 14.,"[""Start with the bundle of 10."", ""Count forward 4 ones: 11, 12, 13, 14."", ""10 + 4 = 14.""]","[""Step 1: Tens = 1 (value 10)."", ""Step 2: Ones = 4."", ""Step 3: 10 + 4 = 14.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad12,Time & Daily Routine (APPLICATION),Mathematics,1,Class 1,Time & Daily Routine,1,3,Which activity do children typically do in the MORNING right after waking up?,multiple_choice,"[""Brush their teeth and wash up"", ""Go to sleep for the night"", ""Eat dinner under stars"", ""Watch the sunset""]",Brush their teeth and wash up,Brushing teeth and washing up is the standard healthy morning routine to start the day.,"[""Think about what you do first when your alarm rings."", ""It helps clean your mouth before breakfast."", ""Morning routine starts with brushing teeth.""]","[""Step 1: Identify the time of day: Morning."", ""Step 2: Think about what happens after waking up."", ""Step 3: Choose brushing teeth.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad14,Measurement (Longer vs Shorter) (APPLICATION),Mathematics,1,Class 1,Measurement,1,3,Rohan places a long wooden ruler (30 cm) and an eraser (4 cm) side by side. Which object is LONGER?,multiple_choice,"[""The wooden ruler"", ""The eraser"", ""Both are equal length"", ""Cannot be determined""]",The wooden ruler,"The wooden ruler extends much further than the eraser, so the ruler is longer.","[""Imagine a 30 cm ruler and a small rubber eraser."", ""Which one would stick out of your pocket?"", ""The ruler is longer.""]","[""Step 1: Ruler length = 30 cm."", ""Step 2: Eraser length = 4 cm."", ""Step 3: 30 cm > 4 cm, so the ruler is longer.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad16,Patterns & Shape Sequences (APPLICATION),Mathematics,1,Class 1,Patterns,1,3,"Look at the pattern: Circle, Triangle, Circle, Triangle, Circle, __. Which shape comes next?",multiple_choice,"[""Triangle"", ""Square"", ""Circle"", ""Star""]",Triangle,The pattern alternates between Circle and Triangle. After Circle comes Triangle.,"[""Say the shapes out loud: Circle, Triangle, Circle, Triangle..."", ""What follows right after Circle in this rule?"", ""It is Triangle.""]","[""Step 1: Identify the repeating unit: (Circle, Triangle)."", ""Step 2: The sequence just had a Circle."", ""Step 3: The next shape is Triangle.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad18,"What is Long, What is Round? (APPLICATION)",Mathematics,2,Class 2,"What is Long, What is Round?",2,3,"Which of the following common objects will smoothly ROLL across the floor because it has a round, curved surface?",multiple_choice,"[""A round tennis ball"", ""A flat matchbox"", ""A rectangular book"", ""A square wooden dice""]",A round tennis ball,"A tennis ball is spherical with a curved surface all around, which enables it to roll smoothly.","[""Think about what happens when you push each item on a ramp."", ""Flat objects slide, curved round objects roll."", ""A ball rolls.""]","[""Step 1: Rolling requires curved surfaces."", ""Step 2: Tennis ball is round sphere."", ""Step 3: Select 'A round tennis ball'.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad1a,Counting in Groups (APPLICATION),Mathematics,2,Class 2,Counting in Groups,2,3,"Karan arranged his shoes neatly in pairs. If there are 5 pairs of shoes on the rack, how many individual shoes are there?",multiple_choice,"[""10 shoes"", ""7 shoes"", ""5 shoes"", ""12 shoes""]",10 shoes,"Each pair has 2 shoes. 5 pairs = 5 × 2 = 10 shoes (2, 4, 6, 8, 10).","[""Each pair means 2 shoes."", ""Skip count by 2s five times: 2, 4, 6, 8, 10."", ""5 \u00d7 2 = 10.""]","[""Step 1: 1 pair = 2 shoes."", ""Step 2: 5 pairs = 2 + 2 + 2 + 2 + 2."", ""Step 3: 5 \u00d7 2 = 10 shoes.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad1c,How Much Can You Carry? (Weight) (APPLICATION),Mathematics,2,Class 2,How Much Can You Carry?,2,3,"When comparing two objects on a two-pan balance scale, what happens to the pan holding the HEAVIER object?",multiple_choice,"[""It goes down"", ""It goes up in the air"", ""It stays completely floating"", ""It disappears""]",It goes down,"Gravity pulls with greater force on greater mass, causing the heavier pan to tilt downwards.","[""Think about playing on a seesaw with a friend who is heavier than you."", ""The heavier side pushes down."", ""The heavier pan goes down.""]","[""Step 1: Recall how balance scales work."", ""Step 2: Greater weight pulls downward."", ""Step 3: Pan goes down.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad1e,Counting in Tens & Tens and Ones (APPLICATION),Mathematics,2,Class 2,Counting in Tens & Tens and Ones,2,3,How is the number 46 broken down into Tens and Ones?,multiple_choice,"[""4 Tens and 6 Ones"", ""6 Tens and 4 Ones"", ""40 Tens and 6 Ones"", ""46 Tens and 0 Ones""]",4 Tens and 6 Ones,46 consists of 4 tens (40) and 6 ones (6): 40 + 6 = 46.,"[""Look at the left digit (tens place): 4."", ""Look at the right digit (ones place): 6."", ""4 Tens and 6 Ones.""]","[""Step 1: Tens place digit = 4 (value 40)."", ""Step 2: Ones place digit = 6 (value 6)."", ""Step 3: 4 Tens and 6 Ones.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad20,Patterns in Nature and Numbers (APPLICATION),Mathematics,2,Class 2,Patterns in Nature and Numbers,2,3,"Look at the jumping sequence: 10, 20, 30, 40, __. What number comes next?",multiple_choice,"[""50"", ""45"", ""60"", ""41""]",50,The numbers increase by 10 at each step. 40 + 10 = 50.,"[""Notice the pattern: 10, 20, 30, 40..."", ""Each number adds 10."", ""40 + 10 = 50.""]","[""Step 1: Find step difference: 20 - 10 = 10."", ""Step 2: Add 10 to 40."", ""Step 3: 40 + 10 = 50.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad22,Jugs and Mugs (Liquid Capacity) (APPLICATION),Mathematics,2,Class 2,Jugs and Mugs (Liquid Capacity),2,3,Which container can hold the LARGEST volume of drinking water?,multiple_choice,"[""A large water bucket"", ""A small tea cup"", ""A plastic spoon"", ""A medicine dropper""]",A large water bucket,A bucket has a much larger physical capacity (several liters) compared to small cups or spoons.,"[""Think about which container you use to take a bath or wash clothes."", ""A cup holds only a little water, a bucket holds a lot."", ""The bucket holds the largest volume.""]","[""Step 1: Compare volumes of items."", ""Step 2: Spoon < Cup < Bucket."", ""Step 3: Bucket is largest.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad24,Add Our Points & Give and Take (APPLICATION),Mathematics,2,Class 2,Add Our Points & Give and Take,2,3,"Anusha scored 23 points in a ring toss game. In the second round, she scored 14 more points. What is her total score?",multiple_choice,"[""37 points"", ""35 points"", ""27 points"", ""40 points""]",37 points,Add ones: 3 + 4 = 7. Add tens: 2 + 1 = 3. Total score = 37 points.,"[""Add ones: 3 + 4 = 7."", ""Add tens: 20 + 10 = 30."", ""30 + 7 = 37.""]","[""Step 1: Tens: 20 + 10 = 30."", ""Step 2: Ones: 3 + 4 = 7."", ""Step 3: 30 + 7 = 37.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad26,Where to Look From (Perspective & Symmetry) (APPLICATION),Mathematics,3,Class 3,Where to Look From (Perspective),2,3,"When standing on the 4th floor balcony looking down at a parked car on the street, which view of the car do you observe?",multiple_choice,"[""Top view"", ""Side view showing doors"", ""Front view showing headlights"", ""Underbody view""]",Top view,"Looking down from above an object provides its top (aerial) view, showing the roof, hood, and trunk.","[""You are high above looking straight down."", ""You see the roof of the car."", ""This is called the top view.""]","[""Step 1: Observer position = above the car."", ""Step 2: Viewing angle = looking straight down."", ""Step 3: This is the Top view.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad28,Fun with Numbers (3-Digit Numbers & Century) (APPLICATION),Mathematics,3,Class 3,Fun with Numbers (3-Digit Numbers),2,3,"In cricket, a batsman scores a glorious 'Century'. Exactly how many runs did the batsman score?",multiple_choice,"[""100 runs"", ""50 runs"", ""200 runs"", ""10 runs""]",100 runs,A century in sport and numerical measurement represents exactly 100 units or runs.,"[""Think about the word 'cent' in century."", ""A half-century is 50, so a full century is..."", ""A century equals 100 runs.""]","[""Step 1: Recall definition of century."", ""Step 2: 1 century = 100."", ""Step 3: Answer is 100 runs.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad2a,Give and Take (Addition with Carryover) (APPLICATION),Mathematics,3,Class 3,Give and Take (Addition & Subtraction),2,3,A school library has 136 Hindi storybooks and 245 English storybooks. How many storybooks are in the library in total?,multiple_choice,"[""381 storybooks"", ""371 storybooks"", ""391 storybooks"", ""400 storybooks""]",381 storybooks,"Add ones: 6 + 5 = 11 (1 ones, carry 1 ten). Add tens: 3 + 4 + 1 = 8 tens. Add hundreds: 1 + 2 = 3 hundreds. Total = 381.","[""Add ones: 6 + 5 = 11."", ""Add tens: 30 + 40 + 10 = 80."", ""Add hundreds: 100 + 200 = 300. Total is 381.""]","[""Step 1: 6 + 5 = 11 (carry 1)."", ""Step 2: 1 + 3 + 4 = 8."", ""Step 3: 1 + 2 = 3 -> 381.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad2c,Long and Short (Metric Measurement) (APPLICATION),Mathematics,3,Class 3,Long and Short (Metric Measurement),2,3,How many centimetres (cm) are there in exactly 1 full metre (m)?,multiple_choice,"[""100 cm"", ""10 cm"", ""1000 cm"", ""50 cm""]",100 cm,The metric standard definition establishes that 1 metre is composed of 100 centimetres.,"[""The prefix 'centi' means one-hundredth."", ""There are 100 cents in a dollar and 100 cm in a metre."", ""1 m = 100 cm.""]","[""Step 1: Metric unit rule: 1 m = 100 cm."", ""Step 2: Select '100 cm'.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad2e,Shapes and Designs (Edges & Vertices) (APPLICATION),Mathematics,3,Class 3,Shapes and Designs,2,3,How many straight edges and pointed corners (vertices) does a standard rectangular notebook cover have?,multiple_choice,"[""4 edges and 4 corners"", ""3 edges and 3 corners"", ""5 edges and 5 corners"", ""6 edges and 8 corners""]",4 edges and 4 corners,A rectangle is a 4-sided polygon with 4 straight sides (edges) and 4 vertices (corners).,"[""Look at your book cover or sheet of paper."", ""Count top, bottom, left, and right sides: that's 4 sides."", ""Count corners: 4.""]","[""Step 1: Shape = rectangle."", ""Step 2: Count edges = 4."", ""Step 3: Count vertices = 4.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad30,Time Goes On (Clocks & Hours) (APPLICATION),Mathematics,3,Class 3,Time Goes On (Clocks & Calendar),2,3,"On an analogue wall clock, the short hour hand points directly at 4, and the long minute hand points at 12. What time is it?",multiple_choice,"[""4 o'clock (4:00)"", ""12 o'clock (12:00)"", ""4:30"", ""12:04""]",4 o'clock (4:00),"When the minute hand points to 12, it is the top of the hour. Since the hour hand points to 4, the time is 4:00.","[""Look at the short hand: it tells the hour (4)."", ""The long hand on 12 means zero minutes past."", ""It is 4 o'clock.""]","[""Step 1: Short hand = 4 (Hour)."", ""Step 2: Long hand = 12 (00 minutes)."", ""Step 3: Time is 4:00.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad32,How Many Times? (Multiplication) (APPLICATION),Mathematics,3,Class 3,How Many Times? (Multiplication),2,3,A gardener planted 4 neat rows of sunflower plants. Each row has 5 sunflowers. How many sunflowers are planted in total?,multiple_choice,"[""20 sunflowers"", ""16 sunflowers"", ""25 sunflowers"", ""9 sunflowers""]",20 sunflowers,4 rows of 5 flowers: 4 × 5 = 5 + 5 + 5 + 5 = 20 sunflowers.,"[""Add 5 four times: 5, 10, 15, 20."", ""4 times 5 equals 20."", ""4 \u00d7 5 = 20.""]","[""Step 1: Number of rows = 4."", ""Step 2: Flowers per row = 5."", ""Step 3: 4 \u00d7 5 = 20 sunflowers.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad34,Can We Share? (Division & Equal Sharing) (APPLICATION),Mathematics,3,Class 3,Can We Share? (Division),2,3,Grandmother has 15 delicious lollipops to distribute EQUALLY among her 3 grandchildren. How many lollipops does each grandchild receive?,multiple_choice,"[""5 lollipops"", ""3 lollipops"", ""4 lollipops"", ""6 lollipops""]",5 lollipops,Divide 15 equally by 3: 15 ÷ 3 = 5 lollipops for each grandchild.,"[""Think: 3 times what number equals 15?"", ""3 \u00d7 5 = 15."", ""Each gets 5 lollipops.""]","[""Step 1: Total lollipops = 15."", ""Step 2: Number of children = 3."", ""Step 3: 15 \u00f7 3 = 5.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad36,Building with Bricks (3D Shapes) (APPLICATION),Mathematics,4,Class 4,Building with Bricks (3D Shapes & Patterns),3,3,How many flat rectangular faces does a standard construction brick (a 3D cuboid) have in total?,multiple_choice,"[""6 faces"", ""4 faces"", ""8 faces"", ""12 faces""]",6 faces,"A cuboid brick has 6 faces: top, bottom, front, back, left side, and right side.","[""Count: top and bottom (2), front and back (2), two sides (2)."", ""2 + 2 + 2 = 6."", ""A brick has 6 faces.""]","[""Step 1: Shape = cuboid."", ""Step 2: Faces = top/bottom + 4 vertical sides."", ""Step 3: 2 + 4 = 6 faces.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad38,Long and Short (Distance Conversion) (APPLICATION),Mathematics,4,Class 4,Long and Short (Distance & Conversion),3,3,"If an athlete completes a 3-kilometre cross-country race, how many metres (m) did they run in total?",multiple_choice,"[""3000 metres"", ""300 metres"", ""30 metres"", ""30,000 metres""]",3000 metres,"1 kilometre = 1000 metres. Therefore, 3 km = 3 × 1000 = 3000 metres.","[""Remember: 1 km = 1000 m."", ""Multiply 3 by 1000."", ""3 \u00d7 1000 = 3000 m.""]","[""Step 1: 1 km = 1000 m."", ""Step 2: 3 km = 3 \u00d7 1000 m."", ""Step 3: Distance = 3000 m.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad3a,A Trip to Bhopal (Multi-Operation Math) (APPLICATION),Mathematics,4,Class 4,A Trip to Bhopal (Multi-Operation Math),3,3,"A family buys 4 bus tickets to visit the Bhopal boat club. If each bus ticket costs ₹50, what is the total cost of all 4 tickets?",multiple_choice,"[""\u20b9200"", ""\u20b9150"", ""\u20b9250"", ""\u20b9100""]",₹200,Total cost = 4 tickets × ₹50 per ticket = ₹200.,"[""Multiply 4 by 50."", ""4 \u00d7 5 = 20, so 4 \u00d7 50 = 200."", ""Total cost is \u20b9200.""]","[""Step 1: Quantity = 4 tickets."", ""Step 2: Rate = \u20b950."", ""Step 3: 4 \u00d7 \u20b950 = \u20b9200.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad3c,Tick-Tick-Tick (24-Hour Railway Time) (APPLICATION),Mathematics,4,Class 4,"Tick-Tick-Tick (Clocks, 24-Hour Time & Elapsed Time)",3,3,A railway departure display shows the train departure time as 17:30. What is this time on a standard 12-hour PM clock?,multiple_choice,"[""5:30 PM"", ""7:30 PM"", ""3:30 PM"", ""5:30 AM""]",5:30 PM,"17:30 is in the afternoon/evening. Subtract 12: 17 - 12 = 5, so 17:30 = 5:30 PM.","[""For times greater than 12, subtract 12 from the hour."", ""17 - 12 = 5."", ""17:30 is 5:30 PM.""]","[""Step 1: Hour is 17 (> 12, so it's PM)."", ""Step 2: 17 - 12 = 5."", ""Step 3: Time = 5:30 PM.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
6aad5689c039c717b080ad3e,The Junk Seller (Profit & Commerce) (APPLICATION),Mathematics,4,Class 4,"The Junk Seller (Currency, Invoices & Multiplication)",3,3,Kiran buys old newspapers for ₹10 per kg and sells them to a recycling depot for ₹14 per kg. How much profit does she earn per kg?,multiple_choice,"[""\u20b94 per kg"", ""\u20b924 per kg"", ""\u20b914 per kg"", ""\u20b95 per kg""]",₹4 per kg,Profit = Selling Price - Cost Price = ₹14 - ₹10 = ₹4 per kg.,"[""Selling price is \u20b914, Cost price is \u20b910."", ""Profit = 14 - 10."", ""Profit is \u20b94 per kg.""]","[""Step 1: Selling Price = \u20b914."", ""Step 2: Cost Price = \u20b910."", ""Step 3: Profit = \u20b914 - \u20b910 = \u20b94.""]","[""Seeing"", ""Doing""]","[""general"", ""space"", ""animals""]",Sparkles
